번호,대분야,소분야,약칭,학회명,등급,비고
2016-S-060,CS,OS,USENIX ATC,USENIX Annual Technical Conference,S,
2016-S-061,CS,OS,USENIX FAST,USENIX Conference on File and Storage Technologies,S,
2016-S-062,CS,Net,USENIX NSDI,USENIX Symposium on Networked Systems Design and Implementation,S,
2016-S-063,CS,Sec,USENIX Security,USENIX Security Symposium,S,
2016-S-064,CS,DB,VLDB,International Conference on Very Large DataBases,S,
2016-S-065,CS,DM,WWW,World-Wide Web Conference,S,
2016-A-001,AI,ML,AAMAS,International Conference on Autonomous Agents and Multi-agent Systems,A,
2016-A-002,AI,CV,ACCV,Asian Conference on Computer Vision,A,
2016-A-003,CS,Sec,ACSAC,ACM Annual Computer Security Applications Conference,A,
2016-A-004,AI,ML,AISTATS,International Conference on Artificial Intelligence and Statistics,A,
2016-A-005,CS,Net,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,A,
2016-A-006,CS,Sec,ASIACCS,ACM Asia Conference on Computer and Communications Security,A,
2016-A-007,CS,Sec,ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,A,
2016-A-008,AI,CV,AVSS,IEEE International Conference on Advanced Video and Signal-Based Surveillance,A,
2016-A-009,AI,Bio,BCB,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics",A,
2016-A-010,AI,Bio,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,A,
2016-A-011,CS,DB,BIGDATA,IEEE International Conference on BigData,A,
2016-A-012,AI,CV,BMVC,British Machine Vision Conference,A,
2016-A-013,CS,OS,CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",A,
2016-A-014,CS,PL,CC,International Conference on Compiler Construction,A,
2016-A-015,CS,Alg,CCC,IEEE Conference on Computational Complexity,A,
2016-A-016,CS,HPC,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing",A,
2016-A-017,CS,PL,CGO,International Symposium on Code Generation and Optimization,A,
2016-A-018,CS,Sec,CHES,Conference on Cryptographic Hardware and Embedded Systems,A,
2016-A-019,CS,HPC,CLUSTER,IEEE International Conference on Cluster Computing,A,
2016-A-020,CS,OS,CODES+ISSS,International Conference on Hardware/Software Codesign and System Synthesis,A,
2016-A-021,AI,NLP,COLING,International Conference on Computational Linguistics,A,
2016-A-022,AI,ML,COLT,Annual Conference on Computational Learning Theory,A,
2016-A-023,CS,PL,CONCUR,International Conference on Concurrency Theory,A,
2016-A-024,AI,NLP,CoNLL,Conference on Computational Natural Language Learning,A,
2016-A-025,CS,Alg,CPM,Annual Symposium on Combinatorial Pattern Matching,A,
2016-A-026,CS,CGI,CSCW,ACM Conference on Computer supported cooperative work,A,
2016-A-027,CS,Sec,CSF,IEEE Computer Security Foundations Symposium,A,
2016-A-028,CS,Arch,DATE,Design Automation and Test in Europe Conference,A,
2016-A-029,CS,HPC,DISC,International Symposium on Distributed Computing,A,
2016-A-030,CS,Sec,DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,A,
2016-A-031,AI,NLP,EACL,Conference of the European Chapter of the Association for Computational Linguistics,A,
2016-A-032,AI,ML,ECAI,Europeon Conference on Artificial Intelligence,A,
2016-A-033,AI,Bio,ECCB,European Conference on Computational Biology,A,
2016-A-034,CS,PL,ECOOP,European Conference on Object Oriented Programming,A,
2016-A-035,CS,OS,ECRTS,EuroMicro on Real-Time Systems,A,
2016-A-036,CS,DB,EDBT,Extending Database Technology,A,
2016-A-037,CS,OS,EMSOFT,ACM Conference on Embedded Software,A,
2016-A-038,CS,Alg,ESA,European Symposium on Algorithms,A,
2016-A-039,CS,PL,ESOP,European Symposium on Programming,A,
2016-A-040,CS,Sec,ESORICS,European Symposium on Research in Computer Security,A,
2016-A-041,CS,HPC,EURO-PAR,European Conference on Parallel Precessing,A,
2016-A-042,CS,CGI,EuroVis,Eurographics Conference on Visualization,A,
2016-A-043,CS,SE,FASE,International Conference on Fundamental Approaches to Software Engineering,A,
2016-A-044,CS,Sec,FC,Financial Cryptography and Data Security,A,
2016-A-045,CS,Arch,FPGA,International Symposium on Field Programmable Gate Arrays,A,
2016-A-046,AI,ML,GECCO,Genetic and Evolutionary Computation,A,
2016-A-047,CS,CGI,i3D,ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,A,
2016-A-048,CS,Alg,ICALP,"International Colloquium on Automata, Languages and Programming",A,
2016-A-049,AI,ML,ICAPS,International Conference on Automated Planning and Scheduling,A,
2016-A-050,CS,Arch,ICCAD,IEEE/ACM International Conference on Computer-Aided Design,A,
2016-A-051,CS,Arch,ICCD,IEEE International Conference on Computer Design,A,
2016-A-052,AI,ML,ICCI*CC,IEEE International Conference on Cognitive Informatics & Cognitive Computing,A,
2016-A-053,CS,OS,ICCPS,ACM/IEEE International Conference on Cyber-Physical Systems,A,
2016-A-054,CS,HPC,ICDCS,IEEE International Conference on Distributed Computing Systems,A,
2016-A-055,CS,PL,ICFP,ACM International Conference on Functional Programming,A,
2016-A-056,CS,Net,ICNP,IEEE International Conference on Network Protocols,A,
2016-A-057,CS,HPC,ICPP,International Conference on Parallel Processing,A,
2016-A-058,AI,CV,ICPR,IEEE International Conference on Pattern Recognition,A,
2016-A-059,AI,Robot,ICRA,IEEE International Conference on Robotics and Automation,A,
2016-A-060,CS,HPC,ICS,ACM International Conference on Supercomputing,A,
2016-A-061,CS,SE,ICSME,IEEE International Conference on Software Maintenance and Evolution,A,
2016-A-062,CS,SE,ICSOC,International Conference on Service-Oriented Computing,A,
2016-A-063,CS,SE,ICST,"IEEE International Conference on Software Testing, Verification and Validation",A,
2016-A-064,CS,SE,ICWS,International Conference on Web Services,A,
2016-A-065,CS,DM,ICWSM,International Conference on Weblogs and Social Media,A,
2016-A-066,CS,Arch,IISWC,IEEE International Symposium on Workload Characterization,A,
2016-A-067,AI,ML,IJCAI,International Joint Conference on Artificial Intelligence,A,
2016-A-068,AI,NLP,IJCNLP,International Joint Conference on Natural Language Processing,A,
2016-A-069,CS,Net,IM,IFIP/IEEE International Symposium on Integrated Network Management,A,
2016-A-070,CS,Net,IMC,ACM Internet Measurement Conference,A,
2016-A-071,CS,HPC,IPDPS,IEEE International Parallel and Distributed Processing Symposium,A,
2016-A-072,CS,Net,IPSN,ACM/IEEE Information Processing in Sensor Networks,A,
2016-A-073,CS,Alg,ISAAC,International Symposium on Algorithms and Computation,A,
2016-A-074,CS,Arch,ISLPED,IEEE International Symposium on Low-Power Electronics and Design,A,
2016-A-075,CS,CGI,ISMAR,IEEE International Symposium on Mixed and Augmented Reality,A,
2016-A-076,CS,Arch,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,A,
2016-A-077,CS,SE,ISSRE,IEEE International Symposium on Software Reliability Engineering,A,
2016-A-078,CS,SE,ISSTA,ACM SIGSOFT International Symposium on Software Testing and Analysis,A,
2016-A-079,CS,DM,ISWC,International Semantic Web Conference,A,
2016-A-080,CS,CGI,IUI,International Conference on Intelligent User Interfaces,A,
2016-A-081,AI,ML,KR,International Conference on Principles of Knowledge Representation and Reasoning,A,
2016-A-082,CS,PL,LCTES,"ACM ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",A,
2016-A-083,CS,OS,MASCOTS,IEEE Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,A,
2016-A-084,AI,Bio,MICCAI,International Conference on Medical Image Computing and Computer Assisted Intervention,A,
2016-A-085,CS,OS,MIDDLEWARE,ACM/IFIP/USENIX International Middleware Conference,A,
2016-A-086,CS,CGI,MM,ACM Multimedia Conference,A,
2016-A-087,CS,OS,MMsys,ACM Multimedia Systems Conference,A,
2016-A-088,CS,Net,MobiHoc,ACM International Symposium on Mobile Ad Hoc Networking and Computing,A,
2016-A-089,CS,SE,MODELS,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,A,
2016-A-090,CS,OS,MSST,IEEE International Conference on Massive Storage Systems and Technology,A,
2016-A-091,CS,Net,NOMS,IEEE/IFIP Network Operations and Management Symposium,A,
2016-A-092,CS,Net,NOSSDAV,ACM Network and Operating System Support for Digital Audio and Video,A,
2016-A-093,CS,CGI,PG,Pacific Conference on Computer Graphics and Applications,A,
2016-A-094,CS,DM,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,A,
2016-A-095,CS,Net,PAM,Passive and Active Measurement Conference,A,
2016-A-096,CS,Net,PERCOM,IEEE International Conference on Pervasive Computing and Communications,A,
2016-A-097,CS,HPC,PODC,ACM Symposium on Principles of Distributed Computing,A,
2016-A-098,AI,Bio,PSB,Pacific Symposium on Biocomputing,A,
2016-A-099,CS,Sec,RAID,International Symposium on Recent Advances in Intrusion Detection,A,
2016-A-100,CS,SE,RE,IEEE International Requirements Engineering Conference,A,
2016-A-101,AI,Bio,RECOMB,Research in Computational Molecular Biology,A,
2016-A-102,CS,DM,RecSys,ACM Conference on Recommender Systems,A,
2016-A-103,AI,Robot,RSS,Robotics: Science and Systems Conference,A,
2016-A-104,CS,PL,SAS,International Static Analysis Symposium,A,
2016-A-105,CS,CGI,SCA,ACM SIGGRAPH / Eurographics Symposium on Computer Animation,A,
2016-A-106,CS,DM,SDM,SIAM International Conference on Data Mining,A,
2016-A-107,CS,Sec,SEC,IFIP International Information Security and Privacy Conference,A,
2016-A-108,CS,Net,SECON,"IEEE International Conference on Sensing, Communication, and Networking",A,
2016-A-109,CS,Net,SenSys,ACM Conference on Embedded Networked Sensor Systems,A,
2016-A-110,CS,CGI,SGP,Eurographics symposium on Geometry Processing,A,
2016-A-111,AI,ML,SMC,"IEEE International Conference on Systems, Man, and Cybernetics",A,
2016-A-112,CS,HPC,SOCC,ACM Symposium on Cloud Computing,A,
2016-A-113,CS,Sec,SOUPS,Symposium On Usable Privacy and Security,A,
2016-A-114,CS,HPC,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,A,
2016-A-115,CS,SE,SPLC,International Systems and Software Product Line Conference,A,
2016-A-116,CS,OS,SRDS,IEEE Symposium on Reliable Distributed Systems,A,
2016-A-117,CS,Alg,STACS,International Symposium on Theoretical Aspects of Computer Science,A,
2016-A-118,CS,OS,SYSTOR,ACM International Systems and Storage Conference,A,
2016-A-119,CS,PL,TACAS,International Conference on Tools and Algorithms for Construction and Analysis of Systems,A,
2016-A-120,AI,ML,UAI,Conference on Uncertainty in Artificial Intelligence,A,
2016-A-121,CS,CGI,UBICOMP,ACM International Joint Conference on Pervasive and Ubiquitous Computing,A,
2016-A-122,CS,OS,VEE,ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments,A,
2016-A-123,CS,CGI,VIS,IEEE Visualization Conference,A,
2016-A-124,CS,PL,VMCAI,"International Conference on Verification, Model Checking, and Abstract Interpretation",A,
2016-A-125,CS,CGI,VR,IEEE Virtual Reality Conference,A,
2016-A-126,CS,CGI,VRST,ACM Symposium on Virtual Reality Software and Technology,A,
2016-A-127,CS,Alg,WADS,Algorithms and Data Structures Symposium,A,
2016-A-128,CS,CGI,WHC,IEEE World Haptics Conference,A,
2016-A-129,CS,Net,WoWMoM,IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks,A,
2016-A-130,CS,DM,WSDM,ACM International Conference on Web Search and Data Mining,A,
2016-A-131,AI,CV,CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition,A,
2016-A-132,AI,CV,ECCV,European Conference on Computer Vision,A,
2016-A-133,AI,CV,ICCV,IEEE/CVF International Conference on Computer Vision,A,
2016-A-134,AI,ML,NIPS,Conference on Neural Information Processing Systems (spotlight/poster),A,
