번호,대분야,소분야,약칭,학회명,등급,비고
2020-A-013,CS,PL,CC,International Conference on Compiler Construction,A,
2020-A-014,CS,Alg,CCC,IEEE Conference on Computational Complexity,A,
2020-A-015,CS,HPC,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing",A,
2020-A-016,CS,PL,CGO,International Symposium on Code Generation and Optimization,A,
2020-A-017,CS,Sec,CHES,Conference on Cryptographic Hardware and Embedded Systems,A,
2020-A-018,CS,DB,CIDR,Biennial Conference on Innovative Data Systems Research,A,
2020-A-019,CS,HPC,CLUSTER,IEEE International Conference on Cluster Computing,A,
2020-A-020,CS,OS,CODES+ISSS,International Conference on Hardware/Software Codesign and System Synthesis,A,
2020-A-021,AI,NLP,COLING,International Conference on Computational Linguistics,A,
2020-A-022,AI,ML,COLT,Annual Conference on Computational Learning Theory,A,
2020-A-023,CS,PL,CONCUR,International Conference on Concurrency Theory,A,
2020-A-024,AI,NLP,CoNLL,Conference on Computational Natural Language Learning,A,
2020-A-025,CS,Alg,CPM,Annual Symposium on Combinatorial Pattern Matching,A,
2020-A-026,CS,CGI,CSCW,ACM Conference on Computer supported cooperative work,A,
2020-A-027,CS,Arch,DATE,Design Automation and Test in Europe Conference,A,
2020-A-028,CS,HPC,DISC,International Symposium on Distributed Computing,A,
2020-A-029,CS,Alg,DLT,International Conference on Developments in Language Theory,A,
2020-A-030,CS,Sec,DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,A,
2020-A-031,AI,NLP,EACL,Conference of the European Chapter of the Association for Computational Linguistics,A,
2020-A-032,AI,Bio,ECCB,European Conference on Computational Biology,A,
2020-A-033,CS,PL,ECOOP,European Conference on Object Oriented Programming,A,
2020-A-034,CS,OS,ECRTS,EuroMicro on Real-Time Systems,A,
2020-A-035,CS,DB,EDBT,Extending Database Technology,A,
2020-A-036,CS,OS,EMSOFT,ACM Conference on Embedded Software,A,
2020-A-037,CS,Alg,ESA,European Symposium on Algorithms,A,
2020-A-038,CS,PL,ESOP,European Symposium on Programming,A,
2020-A-039,CS,Sec,ESORICS,European Symposium on Research in Computer Security,A,
2020-A-040,CS,CGI,EG,Eurographics,A,
2020-A-041,CS,HPC,EURO-PAR,European Conference on Parallel Precessing,A,
2020-A-042,CS,Sec,EuroS&P,IEEE European Symposium on Security and Privacy,A,
2020-A-043,CS,CGI,EuroVis,Eurographics Conference on Visualization,A,
2020-A-044,CS,SE,FASE,International Conference on Fundamental Approaches to Software Engineering,A,
2020-A-045,CS,Sec,FC,Financial Cryptography and Data Security,A,
2020-A-046,CS,SE,FM,International Symposium on Formal Methods,A,
2020-A-047,CS,Arch,FPGA,International Symposium on Field Programmable Gate Arrays,A,
2020-A-048,CS,Sec,FSE,Conference on Fast Software Encryption,A,
2020-A-049,CS,CGI,i3D,ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,A,
2020-A-050,CS,Alg,ICALP,"International Colloquium on Automata, Languages and Programming",A,
2020-A-051,CS,Arch,ICCAD,IEEE/ACM International Conference on Computer-Aided Design,A,
2020-A-052,CS,Arch,ICCD,IEEE International Conference on Computer Design,A,
2020-A-053,AI,ML,ICCI*CC,IEEE International Conference on Cognitive Informatics & Cognitive Computing,A,
2020-A-054,CS,OS,ICCPS,ACM/IEEE International Conference on Cyber-Physical Systems,A,
2020-A-055,CS,HPC,ICDCS,IEEE International Conference on Distributed Computing Systems,A,
2020-A-056,AI,ML,ICLR,International Conference on Learning Representations,A,
2020-A-057,CS,Net,ICNP,IEEE International Conference on Network Protocols,A,
2020-A-058,CS,HPC,ICPP,International Conference on Parallel Processing,A,
2020-A-059,AI,Robot,ICRA,IEEE International Conference on Robotics and Automation,A,
2020-A-060,CS,HPC,ICS,ACM International Conference on Supercomputing,A,
2020-A-061,CS,SE,ICSME,IEEE International Conference on Software Maintenance and Evolution,A,
2020-A-062,CS,SE,ICSOC,International Conference on Service-Oriented Computing,A,
2020-A-063,CS,SE,ICST,"IEEE International Conference on Software Testing, Verification and Validation",A,
2020-A-064,CS,SE,ICWS,International Conference on Web Services,A,
2020-A-065,CS,DM,ICWSM,International Conference on Weblogs and Social Media,A,
2020-A-066,CS,Arch,IISWC,IEEE International Symposium on Workload Characterization,A,
2020-A-067,AI,ML,IJCAI,International Joint Conference on Artificial Intelligence,A,
2020-A-068,AI,NLP,IJCNLP,International Joint Conference on Natural Language Processing,A,
2020-A-069,CS,Net,IM,IFIP/IEEE International Symposium on Integrated Network Management,A,
2020-A-070,CS,Net,IMC,ACM Internet Measurement Conference,A,
2020-A-071,AI,NLP,InterSpeech,Conference of the International Speech Communication Association,A,
2020-A-072,CS,HPC,IPDPS,IEEE International Parallel and Distributed Processing Symposium,A,
2020-A-073,CS,Net,IPSN,ACM/IEEE Information Processing in Sensor Networks,A,
2020-A-074,CS,Alg,ISAAC,International Symposium on Algorithms and Computation,A,
2020-A-075,CS,Arch,ISLPED,IEEE International Symposium on Low-Power Electronics and Design,A,
2020-A-076,CS,Arch,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,A,
2020-A-077,CS,SE,ISSRE,IEEE International Symposium on Software Reliability Engineering,A,
2020-A-078,CS,DM,ISWC,International Semantic Web Conference,A,
2020-A-079,CS,CGI,IUI,International Conference on Intelligent User Interfaces,A,
2020-A-080,CS,PL,LCTES,"ACM ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",A,
2020-A-081,CS,OS,MASCOTS,IEEE Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,A,
2020-A-082,AI,Bio,MICCAI,International Conference on Medical Image Computing and Computer Assisted Intervention,A,
2020-A-083,CS,OS,MIDDLEWARE,ACM/IFIP/USENIX International Middleware Conference,A,
2020-A-084,CS,OS,MLSys,Conference on Machine Learning and Systems,A,
2020-A-085,CS,CGI,MM,ACM Multimedia Conference,A,
2020-A-086,CS,OS,MMsys,ACM Multimedia Systems Conference,A,
2020-A-087,CS,Net,MobiHoc,ACM International Symposium on Mobile Ad Hoc Networking and Computing,A,
2020-A-088,CS,SE,MODELS,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,A,
2020-A-089,CS,OS,MSST,IEEE International Conference on Massive Storage Systems and Technology,A,
2020-A-090,CS,SE,MSR,International Conference on Mining Software Repositories,A,
2020-A-091,CS,Net,NOMS,IEEE/IFIP Network Operations and Management Symposium,A,
2020-A-092,CS,CGI,PG,Pacific Conference on Computer Graphics and Applications,A,
2020-A-093,CS,Net,PAM,Passive and Active Measurement Conference,A,
2020-A-094,CS,Net,PERCOM,IEEE International Conference on Pervasive Computing and Communications,A,
2020-A-095,CS,Sec,PETS,Proceedings on Privacy Enhancing Technologies,A,
2020-A-096,CS,Sec,PKC,International Conference on Practice and Theory in Public Key Cryptography,A,
2020-A-097,CS,DM,PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,A,
2020-A-098,CS,HPC,PODC,ACM Symposium on Principles of Distributed Computing,A,
2020-A-099,AI,Bio,PSB,Pacific Symposium on Biocomputing,A,
2020-A-100,CS,Sec,RAID,International Symposium on Recent Advances in Intrusion Detection,A,
2020-A-101,CS,SE,RE,IEEE International Requirements Engineering Conference,A,
2020-A-102,AI,Bio,RECOMB,Research in Computational Molecular Biology,A,
2020-A-103,CS,DM,RecSys,ACM Conference on Recommender Systems,A,
2020-A-104,AI,Robot,RSS,Robotics: Science and Systems Conference,A,
2020-A-105,CS,PL,SAS,International Static Analysis Symposium,A,
2020-A-106,CS,CGI,SCA,ACM SIGGRAPH / Eurographics Symposium on Computer Animation,A,
2020-A-107,CS,DM,SDM,SIAM International Conference on Data Mining,A,
2020-A-108,CS,Net,SECON,"IEEE International Conference on Sensing, Communication, and Networking",A,
2020-A-109,CS,Net,SenSys,ACM Conference on Embedded Networked Sensor Systems,A,
2020-A-110,CS,CGI,SGP,Eurographics symposium on Geometry Processing,A,
2020-A-111,AI,ML,SMC,"IEEE International Conference on Systems, Man, and Cybernetics",A,
2020-A-112,CS,HPC,SOCC,ACM Symposium on Cloud Computing,A,
2020-A-113,CS,Sec,SOUPS,Symposium On Usable Privacy and Security,A,
2020-A-114,CS,HPC,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,A,
2020-A-115,CS,OS,SRDS,IEEE Symposium on Reliable Distributed Systems,A,
2020-A-116,CS,Alg,STACS,International Symposium on Theoretical Aspects of Computer Science,A,
2020-A-117,CS,OS,SYSTOR,ACM International Systems and Storage Conference,A,
2020-A-118,CS,PL,TACAS,International Conference on Tools and Algorithms for Construction and Analysis of Systems,A,
2020-A-119,AI,ML,UAI,Conference on Uncertainty in Artificial Intelligence,A,
2020-A-120,CS,CGI,UBICOMP,ACM International Joint Conference on Pervasive and Ubiquitous Computing,A,
2020-A-121,CS,OS,VEE,ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments,A,
2020-A-122,CS,PL,VMCAI,"International Conference on Verification, Model Checking, and Abstract Interpretation",A,
2020-A-123,CS,CGI,VRST,ACM Symposium on Virtual Reality Software and Technology,A,
2020-A-124,CS,Alg,WADS,Algorithms and Data Structures Symposium,A,
2020-A-125,CS,CGI,WHC,IEEE World Haptics Conference,A,
2020-A-126,CS,Net,WoWMoM,IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks,A,
2020-A-127,CS,DM,WSDM,ACM International Conference on Web Search and Data Mining,A,
2020-A-128,AI,CV,CVPR (poster),IEEE/CVF Conference on Computer Vision and Pattern Recognition,A,
2020-A-129,AI,CV,ECCV (poster),European Conference on Computer Vision,A,
2020-A-130,AI,CV,ICCV (poster),IEEE/CVF International Conference on Computer Vision,A,
