번호,대분야,소분야,약칭,학회명,등급,비고
2014-S-027,CS,OS,SIGMETRICS,ACM SIG on Computer and Communications Metrics and Performance,S,
2014-S-028,CS,CGI,CHI,ACM Conference on Human Factors in Computing Systems,S,
2014-S-029,CS,CGI,UIST,ACM Symposium on User Interface Software and Technology,S,
2014-S-030,CS,CGI,SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques,S,
2014-S-031,CS,CGI,VIS,IEEE Visualization Conference,S,
2014-S-032,CS,CGI,EG,Eurographics,S,
2014-S-033,CS,Net,SIGCOMM,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",S,
2014-S-034,CS,Net,USENIX NSDI,USENIX Symposium on Networked Systems Design and Implementation,S,
2014-S-035,CS,Net,MobiCom,ACM International Conference on Mobile Computing and Networking,S,
2014-S-036,CS,Net,MobiSys,"ACM International Conference on Mobile Systems, Applications, and Services",S,
2014-S-037,CS,Net,CONEXT,ACM International Conference on Emerging Networking Experiments and Technologies,S,
2014-S-038,CS,HPC,PPoPP,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,S,
2014-S-039,CS,HPC,SC,"ACM/IEEE International Conference for High Performance Computing, Networking, Storage, and Analysis",S,
2014-S-040,CS,Arch,PACT,International Conference on Parallel Architectures and Compilation Techniques,S,
2014-S-041,CS,HPC,HPDC,International ACM Symposium on High Performance Distributed Computing,S,
2014-S-042,CS,DB,SIGMOD,ACM SIGMOD International Conference on Management of Data,S,
2014-S-043,CS,DB,VLDB,International Conference on Very Large DataBases,S,
2014-S-044,CS,DB,ICDE,IEEE International Conference on Data Engineering,S,
2014-S-045,CS,DB,PODS,ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,S,
2014-S-046,CS,DB,EDBT,Extending Database Technology,S,
2014-S-047,CS,DM,KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,S,
2014-S-048,CS,DM,ICDM,IEEE International Conference on Data Mining,S,
2014-S-049,CS,DM,WWW,World-Wide Web Conference,S,
2014-S-050,CS,DM,CIKM,ACM Conference on Information and Knowledge Management,S,
2014-S-051,CS,DM,SIGIR,ACM International Conference on Research and Development in Information Retrieval,S,
2014-S-052,CS,DM,ISWC,International Semantic Web Conference,S,
2014-S-053,CS,PL,PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,S,
2014-S-054,CS,PL,POPL,ACM-SIGACT Symposium on Principles of Programming Languages,S,
2014-S-055,CS,PL,ICFP,ACM International Conference on Functional Programming,S,
2014-S-056,CS,PL,OOPSLA,"ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications",S,
2014-S-057,CS,Sec,S&P,IEEE Symposium on Security and Privacy,S,
2014-S-058,CS,Sec,USENIX Security,USENIX Security Symposium,S,
2014-S-059,CS,Sec,CCS,ACM Conference on Computer and Communications Security,S,
2014-S-060,CS,Sec,NDSS,ISOC Network & Distributed System Security Symposium,S,
2014-S-061,CS,Sec,CRYPTO,International Cryptology Conference,S,
2014-S-062,CS,Sec,EUROCRYPT,International Conference on the Theory and Applications of Cryptographic Techniques,S,
2014-S-063,CS,SE,ICSE,IEEE/ACM International Conference on Software Engineering,S,
2014-S-064,CS,SE,FSE,ACM International Conference on the Foundations of Software Engineering,S,
2014-S-065,CS,SE,ASE,IEEE/ACM International Conference On Automated Software Engineering,S,
2014-A-001,AI,ML,AAAI,AAAI Conference on Artificial Intelligence,A,
2014-A-002,AI,ML,AAMAS,International Conference on Autonomous Agents and Multi-agent Systems,A,
2014-A-003,AI,CV,ACCV,Asian Conference on Computer Vision,A,
2014-A-004,AI,NLP,ACL,Annual Meeting of the Association for Computational Linguistics,A,
2014-A-005,CS,Sec,ACSAC,ACM Annual Computer Security Applications Conference,A,
2014-A-006,AI,ML,AISTATS,International Conference on Artificial Intelligence and Statistics,A,
2014-A-007,CS,Net,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,A,
2014-A-008,CS,SE,ASE,IEEE/ACM International Conference On Automated Software Engineering,A,
2014-A-009,CS,Sec,ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,A,
2014-A-010,CS,OS,ASPLOS,Architectural Support for Programming Languages and Operating Systems,A,
2014-A-011,AI,NLP,ASRU/SLT,Automatic Speech Recognition and Understanding/Spoken Language Technology,A,
2014-A-012,AI,CV,AVSS,IEEE International Conference on Advanced Video and Signal-Based Surveillance,A,
2014-A-013,AI,Bio,BCB,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics",A,
2014-A-014,AI,Bio,BIBE,IEEE Bioinformatics and Bioengineering,A,
2014-A-015,CS,OS,CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",A,
2014-A-016,CS,PL,CAV,International Conference on Computer-Aided Verification,A,
2014-A-017,CS,PL,CC,International Conference on Compiler Construction,A,
2014-A-018,CS,Alg,CCC,IEEE Conference on Computational Complexity,A,
2014-A-019,CS,HPC,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing",A,
2014-A-020,CS,Sec,CCS,ACM Conference on Computer and Communications Security,A,
2014-A-021,CS,PL,CGO,International Symposium on Code Generation and Optimization,A,
2014-A-022,CS,Sec,CHES,Conference on Cryptographic Hardware and Embedded Systems,A,
2014-A-023,CS,CGI,CHI,ACM Conference on Human Factors in Computing Systems,A,
2014-A-024,CS,DM,CIKM,ACM Conference on Information and Knowledge Management,A,
2014-A-025,AI,CV,CIVR,International Conference on Image and Video Retrieval,A,
2014-A-026,CS,HPC,CLUSTER,IEEE International Conference on Cluster Computing,A,
2014-A-027,CS,Alg,COCOON,International Computing and Combinatorics Conference,A,
2014-A-028,CS,OS,CODES+ISSS,International Conference on Hardware/Software Codesign and System Synthesis,A,
2014-A-029,AI,ML,COGSCI,Annual Meeting of the Cognitive Science Society,A,
2014-A-030,AI,NLP,COLING,International Conference on Computational Linguistics,A,
2014-A-031,AI,ML,COLT,Annual Conference on Computational Learning Theory,A,
2014-A-032,CS,PL,CONCUR,International Conference on Concurrency Theory,A,
2014-A-033,CS,Net,CONEXT,ACM International Conference on Emerging Networking Experiments and Technologies,A,
2014-A-034,CS,Net,COSN,ACM CONFERENCE ON ONLINE SOCIAL NETWORKS,A,
2014-A-035,CS,Alg,CPM,Annual Symposium on Combinatorial Pattern Matching,A,
2014-A-036,CS,Sec,CRYPTO,International Cryptology Conference,A,
2014-A-037,AI,Bio,CSB,IEEE Computational Systems Bioinformatics Conference,A,
2014-A-038,CS,CGI,CSCW,ACM Conference on Computer supported cooperative work,A,
2014-A-039,CS,SE,CSEET,Conference on Software Engineering Education and Training,A,
2014-A-040,CS,Sec,CSF,IEEE Computer Security Foundations Symposium,A,
2014-A-041,AI,CV,CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition,A,
2014-A-042,CS,Arch,DAC,Design Automation Conference,A,
2014-A-043,CS,Arch,DATE,Design Automation and Test in Europe Conference,A,
2014-A-044,CS,Net,DCOSS,IEEE International Conference on Distributed Computing in Sensor Systems,A,
2014-A-045,CS,HPC,DISC,International Symposium on Distributed Computing,A,
2014-A-046,CS,Sec,DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,A,
2014-A-047,AI,NLP,EACL,Conference of the European Chapter of the Association for Computational Linguistics,A,
2014-A-048,AI,ML,ECAI,Europeon Conference on Artificial Intelligence,A,
2014-A-049,AI,Bio,ECCB,European Conference on Computational Biology,A,
2014-A-050,AI,CV,ECCV,European Conference on Computer Vision,A,
2014-A-051,CS,PL,ECOOP,European Conference on Object Oriented Programming,A,
2014-A-052,CS,OS,ECRTS,EuroMicro on Real-Time Systems,A,
2014-A-053,CS,DB,EDBT,Extending Database Technology,A,
2014-A-054,CS,CGI,EG,Eurographics,A,
2014-A-055,AI,Bio,EMBC,Annual International Conference of IEEE Engineering in Medicine and Biology Society,A,
2014-A-056,AI,NLP,EMNLP,Conference on Empirical Methods in Natural Language Processing,A,
2014-A-057,CS,OS,EMSOFT,ACM Conference on Embedded Software,A,
2014-A-058,CS,Alg,ESA,European Symposium on Algorithms,A,
2014-A-059,CS,PL,ESOP,European Symposium on Programming,A,
2014-A-060,CS,Sec,ESORICS,European Symposium on Research in Computer Security,A,
2014-A-061,CS,HPC,EURO-PAR,European Conference on Parallel Precessing,A,
2014-A-062,CS,Sec,EUROCRYPT,International Conference on the Theory and Applications of Cryptographic Techniques,A,
2014-A-063,CS,OS,EuroSys,European Conference on Computer Systems,A,
2014-A-064,CS,CGI,EuroVis,Eurographics Conference on Visualization,A,
2014-A-065,CS,Alg,FOCS,IEEE Symposium on Foundations of Computer Science,A,
2014-A-066,CS,SE,FSE,ACM International Conference on the Foundations of Software Engineering,A,
2014-A-067,AI,ML,GECCO,Genetic and Evolutionary Computation,A,
2014-A-068,CS,HPC,GRID,IEEE/ACM International Conference on Grid Computing,A,
2014-A-069,CS,HPC,HiPC,International Conference on High Performance Computing,A,
2014-A-070,CS,Arch,HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,A,
2014-A-071,CS,Arch,HPCA,International Symposium on High-Performance Computer Architecture,A,
2014-A-072,CS,HPC,HPDC,International ACM Symposium on High Performance Distributed Computing,A,
2014-A-073,CS,CGI,i3D,ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,A,
2014-A-074,CS,Alg,ICALP,"International Colloquium on Automata, Languages and Programming",A,
2014-A-075,AI,ML,ICAPS,International Conference on Automated Planning and Scheduling,A,
2014-A-076,AI,NLP,ICASSP,"IEEE International Conference on Acoustics, Speech and Signal Processing",A,
2014-A-077,CS,Arch,ICCAD,IEEE/ACM International Conference on Computer-Aided Design,A,
2014-A-078,CS,Arch,ICCD,IEEE International Conference on Computer Design,A,
2014-A-079,AI,ML,ICCI*CC,IEEE International Conference on Cognitive Informatics & Cognitive Computing,A,
2014-A-080,AI,CV,ICCV,IEEE/CVF International Conference on Computer Vision,A,
2014-A-081,CS,HPC,ICDCS,IEEE International Conference on Distributed Computing Systems,A,
2014-A-082,CS,DB,ICDE,IEEE International Conference on Data Engineering,A,
2014-A-083,CS,DM,ICDM,IEEE International Conference on Data Mining,A,
2014-A-084,CS,DB,ICDT,International Conference on Database Theory,A,
2014-A-085,CS,PL,ICFP,ACM International Conference on Functional Programming,A,
2014-A-086,AI,CV,ICIP,IEEE International Conference on Image Processing,A,
2014-A-087,CS,PL,ICLP,International Conference on Logic Programming,A,
2014-A-088,AI,ML,ICML,IEEE International Conference on Machine Learning,A,
2014-A-089,CS,SE,ICMSE,(ICSM)   IEEE International Conference on Software Maintenance and Evolution,A,
2014-A-090,CS,Net,ICNP,IEEE International Conference on Network Protocols,A,
2014-A-091,CS,HPC,ICPP,International Conference on Parallel Processing,A,
2014-A-092,AI,CV,ICPR,IEEE International Conference on Pattern Recognition,A,
2014-A-093,AI,Robot,ICRA,IEEE International Conference on Robotics and Automation,A,
2014-A-094,CS,HPC,ICS,ACM International Conference on Supercomputing,A,
2014-A-095,CS,SE,ICSE,IEEE/ACM International Conference on Software Engineering,A,
2014-A-096,CS,SE,ICST,"IEEE International Conference on Software Testing, Verification and Validation",A,
2014-A-097,CS,SE,ICWS,International Conference on Web Services,A,
2014-A-098,CS,DM,ICWSM,International Conference on Weblogs and Social Media,A,
2014-A-099,CS,Arch,IISWC,IEEE International Symposium on Workload Characterization,A,
2014-A-100,AI,ML,IJCAI,International Joint Conference on Artificial Intelligence,A,
2014-A-101,CS,PL,IJCAR,International Joint Conference on Automated Reasoning,A,
2014-A-102,AI,NLP,IJCNLP,International Joint Conference on Natural Language Processing,A,
2014-A-103,CS,Net,IMC,ACM Internet Measurement Conference,A,
2014-A-104,CS,Net,INFOCOM,IEEE Conference on Computer Communications,A,
2014-A-105,CS,CGI,INFOVIS,IEEE Conference on Information Visualization,A,
2014-A-106,AI,NLP,InterSpeech,Conference of the International Speech Communication Association,A,
2014-A-107,CS,HPC,IPDPS,IEEE International Parallel and Distributed Processing Symposium,A,
2014-A-108,CS,Net,IPSN,ACM/IEEE Information Processing in Sensor Networks,A,
2014-A-109,AI,Robot,IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,A,
2014-A-110,CS,Alg,ISAAC,International Symposium on Algorithms and Computation,A,
2014-A-111,CS,Arch,ISCA,ACM/IEEE International Symposium on Computer Architecture,A,
2014-A-112,CS,Arch,ISLPED,IEEE International Symposium on Low-Power Electronics and Design,A,
2014-A-113,CS,CGI,ISMAR,IEEE International Symposium on Mixed and Augmented Reality,A,
2014-A-114,CS,PL,ISMM,ACM International Symposium on Memory Management,A,
2014-A-115,CS,Arch,ISMVL,IEEE International Symposium on Multiple-Valued Logic,A,
2014-A-116,CS,Arch,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,A,
2014-A-117,CS,Alg,ISSAC,ACM International Symposium on Symbolic and Algebraic Computation,A,
2014-A-118,CS,SE,ISSRE,IEEE International Symposium on Software Reliability Engineering,A,
2014-A-119,CS,SE,ISSTA,ACM SIGSOFT International Symposium on Software Testing and Analysis,A,
2014-A-120,CS,DM,ISWC,International Semantic Web Conference,A,
2014-A-121,CS,PL,ITP,(TPHOLs)   International Conference on Interactive Theorem Proving,A,
2014-A-122,AI,ML,ITS,International Conference on Intelligent Tutoring Systems,A,
2014-A-123,CS,CGI,IUI,International Conference on Intelligent User Interfaces,A,
2014-A-124,CS,DM,KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,A,
2014-A-125,AI,ML,KR,International Conference on Principles of Knowledge Representation and Reasoning,A,
2014-A-126,CS,PL,LCTES,"ACM ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",A,
2014-A-127,CS,PL,LICS,ACM/IEEE Symposium on Logic in Computer Science,A,
2014-A-128,CS,OS,MASCOTS,IEEE Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,A,
2014-A-129,CS,Net,MASS,IEEE International Conference on Mobile Ad-Hoc and Smart Systems,A,
2014-A-130,AI,Bio,MICCAI,International Conference on Medical Image Computing and Computer Assisted Intervention,A,
2014-A-131,CS,Arch,MICRO,IEEE/ACM International Symposium on Microarchitecture,A,
2014-A-132,CS,OS,MIDDLEWARE,ACM/IFIP/USENIX International Middleware Conference,A,
2014-A-133,CS,CGI,MM,ACM Multimedia Conference,A,
2014-A-134,CS,OS,MMsys,ACM Multimedia Systems Conference,A,
2014-A-135,CS,Net,MobiCom,ACM International Conference on Mobile Computing and Networking,A,
2014-A-136,CS,Net,MobiHoc,ACM International Symposium on Mobile Ad Hoc Networking and Computing,A,
2014-A-137,CS,Net,MobiSys,"ACM International Conference on Mobile Systems, Applications, and Services",A,
2014-A-138,CS,SE,MODELS,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,A,
2014-A-139,CS,OS,MSST,IEEE International Conference on Massive Storage Systems and Technology,A,
2014-A-140,AI,NLP,NAACL,Conference of the North American Chapter of the Association for Computational Linguistics,A,
2014-A-141,CS,Sec,NDSS,ISOC Network & Distributed System Security Symposium,A,
2014-A-142,AI,ML,NeurIPS,Conference on Neural Information Processing Systems,A,
2014-A-143,CS,Net,NOMS,IEEE/IFIP Network Operations and Management Symposium,A,
2014-A-144,CS,Net,NOSSDAV,ACM Network and Operating System Support for Digital Audio and Video,A,
2014-A-145,CS,PL,OOPSLA,"ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications",A,
2014-A-146,CS,OS,USENIX OSDI,USENIX Symposium on Operating Systems Design and Implementation,A,
2014-A-147,CS,CGI,PG,Pacific Conference on Computer Graphics and Applications,A,
2014-A-148,CS,Arch,PACT,International Conference on Parallel Architectures and Compilation Techniques,A,
2014-A-149,CS,Net,PERCOM,IEEE International Conference on Pervasive Computing and Communications,A,
2014-A-150,CS,Net,PERFORMANCE,"IFIP WG 7.3 International Symposium on Computer Performance, Modeling, Measurements and Evaluation",A,
2014-A-151,CS,PL,PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,A,
2014-A-152,CS,HPC,PODC,ACM Symposium on Principles of Distributed Computing,A,
2014-A-153,CS,DB,PODS,ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,A,
2014-A-154,CS,PL,POPL,ACM-SIGACT Symposium on Principles of Programming Languages,A,
2014-A-155,CS,HPC,PP,SIAM Conference on Parallel Processing for Scientific Computing,A,
2014-A-156,CS,HPC,PPoPP,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,A,
2014-A-157,AI,Bio,PSB,Pacific Symposium on Biocomputing,A,
2014-A-158,CS,Sec,RAID,International Symposium on Recent Advances in Intrusion Detection,A,
2014-A-159,CS,SE,RE,IEEE International Requirements Engineering Conference,A,
2014-A-160,AI,Robot,RSS,Robotics: Science and Systems Conference,A,
2014-A-161,CS,OS,RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,A,
2014-A-162,CS,OS,RTSS,IEEE Real-Time Systems Symposium,A,
2014-A-163,CS,Sec,S&P,IEEE Symposium on Security and Privacy,A,
2014-A-164,CS,Sec,SACMAT,ACM Symposium on Access Control Models and Technologies (previously RBAC),A,
2014-A-165,CS,PL,SAS,International Static Analysis Symposium,A,
2014-A-166,CS,HPC,SC,"ACM/IEEE International Conference for High Performance Computing, Networking, Storage, and Analysis",A,
2014-A-167,CS,CGI,SCA,ACM SIGGRAPH / Eurographics Symposium on Computer Animation,A,
2014-A-168,CS,DM,SDM,SIAM International Conference on Data Mining,A,
2014-A-169,CS,Sec,SEC,(IFIP-SEC)     IFIP International Information Security and Privacy Conference,A,
2014-A-170,CS,Net,SECON,"IEEE International Conference on Sensing, Communication, and Networking",A,
2014-A-171,CS,Net,SenSys,ACM Conference on Embedded Networked Sensor Systems,A,
2014-A-172,CS,CGI,SGP,Eurographics symposium on Geometry Processing,A,
2014-A-173,CS,Net,SIGCOMM,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",A,
2014-A-174,CS,CGI,SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques,A,
2014-A-175,CS,CGI,SIGGRAPH ASIA,ACM SIG International Conference on Computer Graphics and Interactive Techniques Asia,A,
2014-A-176,CS,DM,SIGIR,ACM International Conference on Research and Development in Information Retrieval,A,
2014-A-177,CS,OS,SIGMETRICS,ACM SIG on Computer and Communications Metrics and Performance,A,
2014-A-178,CS,DB,SIGMOD,ACM SIGMOD International Conference on Management of Data,A,
2014-A-179,AI,ML,SMC,"IEEE International Conference on Systems, Man, and Cybernetics",A,
2014-A-180,CS,HPC,SOCC,ACM Symposium on Cloud Computing,A,
2014-A-181,CS,Alg,SOCG,Annual Symposium on Computational Geometry,A,
2014-A-182,CS,Alg,SODA,ACM/SIAM Symposium on Discrete Algorithms,A,
2014-A-183,CS,OS,SOSP,ACM SIGOPS Symposium on Operating Systems Principles,A,
2014-A-184,CS,Sec,SOUPS,Symposium On Usable Privacy and Security,A,
2014-A-185,CS,HPC,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,A,
2014-A-186,CS,PL,SPLASH,"ACM SIGPLAN conference on Systems, Programming, Languages and Applications: Software for Humanity",A,
2014-A-187,CS,OS,SRDS,IEEE Symposium on Reliable Distributed Systems,A,
2014-A-188,CS,Alg,STACS,International Symposium on Theoretical Aspects of Computer Science,A,
2014-A-189,CS,Alg,STOC,ACM Symposium on Theory of Computing,A,
2014-A-190,CS,PL,TACAS,International Conference on Tools and Algorithms for Construction and Analysis of Systems,A,
2014-A-191,CS,Sec,TCC,Theory of Cryptography Conference,A,
2014-A-192,AI,ML,UAI,Conference on Uncertainty in Artificial Intelligence,A,
2014-A-193,CS,CGI,UBICOMP,ACM International Joint Conference on Pervasive and Ubiquitous Computing,A,
2014-A-194,CS,CGI,UIST,ACM Symposium on User Interface Software and Technology,A,
2014-A-195,CS,OS,USENIX ATC,USENIX Annual Technical Conference,A,
2014-A-196,CS,OS,USENIX FAST,USENIX Conference on File and Storage Technologies,A,
2014-A-197,CS,Net,USENIX NSDI,USENIX Symposium on Networked Systems Design and Implementation,A,
2014-A-198,CS,Sec,USENIX Security,USENIX Security Symposium,A,
2014-A-199,CS,OS,VEE,ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments,A,
2014-A-200,CS,CGI,VIS,IEEE Visualization Conference,A,
2014-A-201,CS,DB,VLDB,International Conference on Very Large DataBases,A,
2014-A-202,CS,CGI,VR,IEEE Virtual Reality Conference,A,
2014-A-203,CS,CGI,VRST,ACM Symposium on Virtual Reality Software and Technology,A,
2014-A-204,CS,Alg,WADS,Algorithms and Data Structures Symposium,A,
2014-A-205,AI,ML,WCCI,IEEE World Congress on Computational Intelligence,A,
2014-A-206,CS,CGI,WHC,IEEE World Haptics Conference,A,
2014-A-207,CS,DM,WSDM,ACM International Conference on Web Search and Data Mining,A,
2014-A-208,CS,DM,WWW,World-Wide Web Conference,A,
